model_kind,horizon,metric_code,samples,mean_error,mae,rmse,mape,smape,mase,rmsse,pinball_q10,pinball_q50,pinball_q90,pinball_avg,picp80,ace80,miw,winkler80
lstm,30d,system_temperature,717,0.5375832915904863,0.909822720303361,1.1397549619989422,0.018087579837469336,0.017916511988279742,0.4447522159423711,0.31868791909611266,0.31001258732298,0.4549113601516805,0.1867551525237226,0.3172263666661277,0.497907949790795,0.30209205020920504,1.5820134351749782,4.967677398467029
lstm,7d,cpu_load_total,168,2.2939320558231953,4.391306749631486,5.476997662864678,0.097896943475846,0.09246607659516713,0.5467613451059018,0.42886202405257884,1.2770811318522948,2.195653374815743,0.8606249188931995,1.4444531418537458,0.5773809523809523,0.22261904761904772,8.95447283323081,21.377060507454946
lstm,7d,mem_usage_percent,168,0.49731310001394613,1.2810330628894786,1.6311072804417692,0.016646711958841237,0.01651771988234641,0.3624406027370287,0.288726347474013,0.3918764387592245,0.6405165314447393,0.24419747769103017,0.4255301492983314,0.6309523809523809,0.1690476190476191,3.1146479970713234,6.360739164502549
lstm,7d,net_bytes_recv,168,41.02497454967474,121.26035859640845,161.82241557636823,0.797545600574893,0.3447224613509411,0.5198744122644934,0.40417718659358387,40.45412519315477,60.630179298204226,30.16193046424931,43.74874498520277,0.5119047619047619,0.2880952380952382,190.35783022052777,706.1605565740412
lstm,7d,net_bytes_sent,168,-0.0935365556596069,115.64916259533489,168.880929166535,0.9302402141484285,0.3630990801463463,0.531608701045621,0.4295838878939879,34.89003443887604,57.82458129766744,34.890584070844575,42.535066602462685,0.5476190476190477,0.2523809523809524,183.2116975751623,697.8061850972063
lstm,7d,ping_latency_gateway,168,0.10658929170010023,1.3034867259953846,1.6344974855768226,0.1421713262267077,0.13545719371691656,0.5895181883562318,0.4970451077497853,0.2932570585136383,0.6517433629976923,0.3387823168716225,0.4279275794609844,0.6190476190476191,0.18095238095238098,2.936109094716933,6.320393753852606
lstm,7d,storcli_drive_temperature,168,0.021304541851526144,0.7505506473358123,0.9336676307403325,0.02430514355214259,0.02422300380753191,0.533429940180164,0.4248406812362342,0.20090992745842787,0.37527532366790617,0.17951047655077992,0.2518985758923713,0.5357142857142857,0.26428571428571435,1.4060973664377325,3.804204040092078
lstm,7d,system_temperature,168,0.47769900283138983,0.9327947880673125,1.163875210738843,0.018720926428202087,0.018570733132508965,0.45598174210697306,0.32543220373210013,0.30352485658184586,0.46639739403365627,0.21317183132040105,0.32769802731196773,0.43452380952380953,0.3654761904761905,1.506224656401054,5.16696687902247
sarima,24h,cpu_load_total,24,-0.23601446132918427,3.5006293708367173,4.339595422866327,0.07018613876442309,0.0703893640977319,0.43586315706060197,0.33980070673361207,0.9004868485800152,1.7503146854183587,0.800906964261146,1.1505694994198399,0.5833333333333334,0.21666666666666667,8.111953883340199,17.01393812841161
sarima,24h,mem_usage_percent,24,-0.47817228099782305,1.176008982147075,1.5155398861911271,0.015081887739450366,0.015213166965318298,0.33272631024225047,0.2682694762251519,0.21310683280532827,0.5880044910735375,0.3655037803511769,0.3888717014100142,0.6666666666666666,0.13333333333333341,3.0216022077302966,5.786106131565052
