model_kind,horizon,metric_code,samples,mae,rmse,mape,smape,mase,rmsse,pinball_q10,pinball_q50,pinball_q90,pinball_avg,picp80,ace80,miw,winkler80
ensemble,30d,net_bytes_sent,702,131.4884184240106,168.2225054884353,1.4802145329605905,0.42932357135329147,0.6016497721977769,0.42756412231256974,36.28160382161696,65.7442092120053,29.399680971300747,43.808498001641,0.707977207977208,0.09202279202279207,366.8519482125737,656.8128479291772
ensemble,30d,ping_latency_gateway,702,1.4804076589514128,1.836140123485953,0.18633618700351767,0.16164721634389057,0.6715047966143239,0.5589067711403343,0.4513274215645513,0.7402038294757064,0.2938351765628452,0.49512214253436765,0.6011396011396012,0.19886039886039886,3.3704524770513977,7.4516259812739785
ensemble,30d,storcli_drive_temperature,702,0.6597613589846049,0.8353133993848968,0.021611027782638098,0.021430978210009836,0.4713875268954203,0.38053199356315914,0.18085498632424693,0.32988067949230243,0.13784859183250012,0.21619475254968315,0.7378917378917379,0.06210826210826215,1.9087781010693157,3.1870357815674684
ensemble,30d,system_temperature,702,1.746235352166125,1.9253955463813597,0.03507513279579807,0.034342487438238964,0.8471346563037659,0.5375469050081021,0.31846289721490617,0.8731176760830625,0.3597529046918844,0.517111159329951,0.5270655270655271,0.2729344729344729,3.635289579191894,6.78215801906791
ensemble,7d,cpu_load_total,168,3.8492822129088244,4.972642273719149,0.08684213223438622,0.08490087590295754,0.48060171137349206,0.38979516200723846,1.0450587393534914,1.9246411064544122,0.8234892802802295,1.264396375362711,0.6845238095238095,0.11547619047619051,9.426071650589495,18.685480196337224
ensemble,7d,mem_usage_percent,168,3.08678222994939,3.5562829335161252,0.040576001485382616,0.039534631987036294,0.8696271541490348,0.6288858379372616,0.8445879989198501,1.543391114974695,0.5842044741336995,0.9907278626760815,0.42857142857142855,0.3714285714285715,5.26661274625296,14.287924730535488
ensemble,7d,net_bytes_recv,168,187.6880685055874,218.84949090060513,1.575754673739285,0.47780232037139636,0.7964642738523218,0.5455357749419529,61.38169142914878,93.8440342527937,33.468905289921345,62.89821032395461,0.39285714285714285,0.4071428571428572,286.29472972503174,948.5059671907011
ensemble,7d,net_bytes_sent,168,167.98523292019226,192.7987850900017,1.290355795968882,0.47585930536766374,0.768647751113024,0.49002862661324065,50.919894863988496,83.99261646009613,30.06248501619294,54.991665446759185,0.3630952380952381,0.43690476190476196,265.9324212695973,809.8237988018149
ensemble,7d,ping_latency_gateway,168,1.3610702013518132,1.6413606638156502,0.16785924013133052,0.1508810314877907,0.6173739802075443,0.499617418712205,0.394433345262542,0.6805351006759066,0.2782136629019698,0.4510607029468061,0.5952380952380952,0.2047619047619048,2.90503803552689,6.726470081645121
ensemble,7d,storcli_drive_temperature,168,0.7252668051580939,0.92120723567048,0.023926283584900173,0.023520856431386846,0.5181899803119481,0.4196614421995745,0.23317116664438556,0.36263340257904697,0.13520800172089842,0.24367085698144364,0.6190476190476191,0.18095238095238098,1.5708979847306255,3.683791683652843
