model_kind,horizon,metric_code,samples,mae,rmse,mape,smape,mase,rmsse,pinball_q10,pinball_q50,pinball_q90,pinball_avg,picp80,ace80,miw,winkler80
ensemble,30d,net_bytes_sent,704,124.52638387241926,174.51301283242654,1.1072433923098932,0.3816512945018578,0.5685020020676845,0.4449637273644982,31.993542729709517,62.26319193620963,34.937813328573384,43.064849331497506,0.8821022727272727,0.08210227272727266,501.29178058225557,669.3135605828302
ensemble,30d,ping_latency_gateway,704,2.3623967122685765,2.816213607499327,0.3110803638136526,0.2468696135361341,1.0741239352526948,0.8754914802794936,0.6747135775320531,1.1811983561342883,0.4704556131786619,0.7754558489483344,0.5426136363636364,0.2573863636363637,4.852297849322955,11.451691907107147
ensemble,30d,storcli_drive_temperature,704,0.8845901812410741,1.0873969413013587,0.02899351521575883,0.028501804761082005,0.6196519451014829,0.48032172409518853,0.1992831197132271,0.44229509062053707,0.21026490187137084,0.2839477040683783,0.7698863636363636,0.030113636363636398,2.955008537351192,4.095480215845981
ensemble,30d,system_temperature,704,0.8914915181449359,1.1372985646729232,0.015072556629868216,0.014989456793122073,0.4539637834174019,0.3209218417987185,0.20441674447607044,0.44574575907246794,0.23945662970741852,0.29653971108531896,0.859375,0.059374999999999956,3.7793008268840422,4.438733741834894
ensemble,7d,cpu_load_total,168,5.90713523161763,6.976990169729621,0.09685547142383388,0.09112365035276786,0.7511889367201293,0.5621296588453714,1.778951122537179,2.953567615808815,1.1333259856000841,1.9552815746486927,0.5119047619047619,0.2880952380952382,10.632880675159182,29.122771081372633
ensemble,7d,mem_usage_percent,168,2.1869382282411376,2.656873654805279,0.024286761721141557,0.023905922873118657,0.9368081382098437,0.7540512861727773,0.7214778733244912,1.0934691141205688,0.4096801888096058,0.7415423920848886,0.5119047619047619,0.2880952380952382,4.122685482371084,11.31158062134097
ensemble,7d,net_bytes_recv,168,121.4903384155926,162.07358290874723,1.3912914285145808,0.3830471428825658,0.510427155880094,0.39583155737840314,31.90044892135673,60.7451692077963,30.557544600067185,41.067720909740075,0.7440476190476191,0.055952380952380976,354.60665886655414,624.5799352142398
ensemble,7d,net_bytes_sent,168,120.93934337990265,168.7395012185673,0.9752480250791317,0.38256807966002704,0.5521260370867801,0.43024274349063707,31.715466300527737,60.469671689951326,32.21116390284273,41.4654339644406,0.7916666666666666,0.008333333333333415,380.934102537596,639.2663020337046
ensemble,7d,ping_latency_gateway,168,2.0901259855619956,2.61329227995394,0.2958966503217794,0.2317796648813134,0.9503291031208191,0.8124082351165878,0.7795574855990266,1.0450629927809978,0.3830389838533192,0.7358864874111145,0.5357142857142857,0.26428571428571435,3.71758756334207,11.625964694523457
ensemble,7d,storcli_drive_temperature,168,0.8180380645185428,0.9991472351024056,0.02687655340589861,0.02652807895433414,0.5730324489186522,0.44134032786131067,0.23638416322195255,0.4090190322592714,0.16218513401994294,0.2691961098337223,0.6428571428571429,0.15714285714285714,2.1867707467138424,3.985692972418955
ensemble,7d,system_temperature,168,0.8583445781532555,1.1092129701378903,0.01476985919915647,0.01473411561433595,0.4370847554277197,0.3129966750868559,0.19049314086437044,0.42917228907662774,0.22313131918235213,0.28093224970778347,0.7797619047619048,0.020238095238095277,2.9230290775177585,4.136244600467225
lstm,24h,cpu_load_total,24,6.410365555148757,7.7026767126432105,0.09018625124554712,0.08593464135554325,0.8151829095744048,0.6205975538649945,2.0855136970901698,3.2051827775743784,1.096021307674221,2.1289059274462563,0.5,0.30000000000000004,11.225292535867654,31.815350047643907
lstm,24h,mem_usage_percent,24,1.8536748034037476,2.264946015891504,0.02000981776314999,0.01977155924714098,0.7940496987972935,0.6428177167197912,0.6291651302478726,0.9268374017018738,0.28172757850676705,0.6125767034855044,0.625,0.17500000000000004,3.6742892707129555,9.108927087546396
lstm,24h,net_bytes_recv,24,202.85067056168285,254.61974699724672,0.47941750369846964,0.303724497344032,0.8522528802988413,0.6218566232966005,76.08973730420992,101.42533528084142,52.9987071206969,76.83792656858274,0.4583333333333333,0.34166666666666673,270.20115775808426,1290.884444249068
lstm,24h,net_bytes_sent,24,193.3129740901528,256.7419853204709,1.6854744357726619,0.47291954155989346,0.8825343624247924,0.6546266602414115,71.33850497908315,96.6564870450764,53.78041240054615,73.92513480823523,0.4166666666666667,0.38333333333333336,228.0396846705704,1251.1891737962928
lstm,24h,ping_latency_gateway,24,2.182808686323781,2.6862146395714896,0.24185963536835922,0.20495245402037596,0.9924696575649951,0.8350780014997327,0.807946540161192,1.0914043431618905,0.4390780978244277,0.7794763270491701,0.5,0.30000000000000004,3.3215276000587313,12.470246379856194
lstm,24h,storcli_drive_temperature,24,1.1212255796446853,1.413877249865764,0.03613340242328577,0.03519778752938293,0.7854141115941508,0.6245336293678965,0.46955528440590105,0.5606127898223426,0.2016562904589827,0.41060812156240883,0.4583333333333333,0.34166666666666673,1.703745185868341,6.712115748648838
lstm,24h,system_temperature,24,1.3132845302164526,1.6011543067225555,0.021929593824170767,0.02179129494109815,0.6687484983381315,0.4518122198326433,0.4966430036299012,0.6566422651082263,0.19707334703001447,0.45011953858938064,0.6666666666666666,0.13333333333333341,2.700784121554387,6.937163506599156
lstm,30d,cpu_load_total,704,10.934936960981885,12.452838591698956,0.17065796910045591,0.15282981932401307,1.390556225098,1.0033137124915121,6.310188151166797,5.467468480490942,1.47594811700899,4.4178682495555766,0.11789772727272728,0.6821022727272728,8.238588430925024,77.8613626817578
lstm,30d,mem_usage_percent,704,3.521520262482051,3.9484179424184256,0.03827242403904634,0.03737223385813873,1.5084965812762292,1.1206064023569433,2.1433275621619217,1.7607601312410255,0.44411878500103774,1.449402159467995,0.17329545454545456,0.6267045454545455,2.300673756349568,25.874463471629653
lstm,30d,net_bytes_recv,704,456.39203384227056,492.2195344451471,3.1130476762119197,0.7629165267263296,1.9174766556625509,1.202145478582986,311.29230070413865,228.19601692113528,58.113535999745935,199.20061787500663,0.0625,0.7375,230.79637252777172,3694.058367038841
lstm,30d,net_bytes_sent,704,498.8727527748106,533.0521448010552,4.89107315643384,0.8641890779412594,2.277510595827336,1.359147179804149,356.31901489553667,249.4363763874053,61.449127156322014,222.40150614642133,0.046875,0.753125,202.90164037980796,4177.6814205185865
lstm,30d,ping_latency_gateway,704,4.411958631195813,4.817135832146751,0.564615187965799,0.4065630240380182,2.006009550598026,1.497528940689403,2.609583910766486,2.2059793155979066,0.6074022513104723,1.8076551592249548,0.09517045454545454,0.7048295454545455,3.2477976506216453,32.169861620769574
lstm,30d,storcli_drive_temperature,704,2.9296566534436708,3.119408118758591,0.09598480346175683,0.09098997072800027,2.052212970800697,1.377895622885897,1.9247614238583943,1.4648283267218354,0.3781425871691635,1.2559107792497979,0.028409090909090908,0.7715909090909091,1.6579876660081252,23.02904011027559
lstm,30d,system_temperature,704,3.4059321210942604,3.619468263234997,0.05760590290841165,0.05578923006724059,1.7343629190911012,1.0213381582024943,2.274294270597305,1.7029660605471302,0.46024404490419907,1.4791681253495446,0.05397727272727273,0.7460227272727273,2.146196983970271,27.345383155015057
lstm,7d,cpu_load_total,168,9.051019007302251,10.247525912390815,0.14566315367298882,0.13279249325812234,1.1509852200331605,0.8256337052234354,4.614940261426548,4.525509503651126,1.292476342156109,3.4776420357445943,0.20833333333333334,0.5916666666666667,8.894241491406085,59.074166035826565
lstm,7d,mem_usage_percent,168,3.6778026566800923,4.223767716371992,0.04091996452307434,0.0398538221827942,1.5754425136546626,1.198753833576169,2.1007871722728373,1.8389013283400462,0.477732939771681,1.4724738134615214,0.20833333333333334,0.5916666666666667,2.8127620053993754,25.785201120445187
lstm,7d,net_bytes_recv,168,334.1960839034497,376.1109657396798,2.5646291590834283,0.640842483629872,1.4040849571887435,0.9185740615091798,202.22491378909365,167.09804195172484,49.14358744699017,139.48884772926957,0.15476190476190477,0.6452380952380953,235.58360730248287,2513.6850123608383
lstm,7d,net_bytes_sent,168,364.0797103808171,407.5024440505552,4.264713756145231,0.7602206867193475,1.662138077307171,1.0390274253587681,234.8912319320922,182.03985519040856,52.83803779766624,156.58970830672234,0.10714285714285714,0.692857142857143,203.99551165558495,2877.292697297584
lstm,7d,ping_latency_gateway,168,3.4333367502173227,3.9546640174069694,0.48214057347720063,0.3461733386543936,1.5610541455798752,1.2294076860462388,1.7846775916761917,1.7166683751086613,0.5110314580088071,1.337459141597887,0.20833333333333334,0.5916666666666667,3.2474082532782194,22.957090496850007
lstm,7d,storcli_drive_temperature,168,2.0595980303312182,2.2887487022617417,0.06807777956908387,0.06530317497827652,1.4427403250524145,1.0109792302480989,1.1669664500552164,1.0297990151656091,0.29207569043898146,0.829613718553269,0.10714285714285714,0.692857142857143,1.6836702806606798,14.590421404941981
lstm,7d,system_temperature,168,2.5736543385761506,2.8731950432620454,0.044626145737077946,0.04345034806061699,1.3105518526747173,0.810755481253758,1.6136532445914535,1.2868271692880753,0.349711791769273,1.083397401882934,0.16071428571428573,0.6392857142857143,1.9502620538392894,19.63365036360726
sarima,24h,cpu_load_total,24,4.545524930502451,5.894976243490384,0.06534095721864415,0.06424611670802527,0.5780378991668903,0.47495279540908913,1.5015659577887828,2.2727624652512257,1.085581721922306,1.6199700483207715,0.5833333333333334,0.21666666666666667,7.970181827553039,25.871476797110887
sarima,24h,mem_usage_percent,24,1.3017689890729074,1.6972637978403344,0.014010484127896716,0.014092396887977914,0.5576324778105411,0.48170297726475614,0.2827951335300526,0.6508844945364537,0.3867006083870536,0.44012674548451997,0.5833333333333334,0.21666666666666667,2.896342583610506,6.694957419171065
sarima,24h,net_bytes_recv,24,106.64356513716143,146.12749208646437,0.1782292815519901,0.18453643794467334,0.44805021004772033,0.35688649396337696,32.43407402266411,53.321782568580716,34.52067130941132,40.092175966885385,0.5,0.30000000000000004,158.55409448621833,669.5474533207542
sarima,24h,net_bytes_sent,24,146.70491050445239,238.88755551242753,0.8911187512471405,0.3143629787488202,0.6697539327921826,0.6091024124594799,52.32681663146125,73.35245525222619,53.62972521541641,59.769665699701285,0.625,0.17500000000000004,155.55592281901622,1059.5654184687764
sarima,24h,ping_latency_gateway,24,1.7858656439595533,2.0403916751265445,0.20321064952790244,0.1909867058985154,0.8119893764499709,0.6343075408944886,0.49189511635007105,0.8929328219797766,0.47817722029033255,0.6210017195400601,0.3333333333333333,0.46666666666666673,2.6394171393464454,9.700723366404036
sarima,24h,storcli_drive_temperature,24,0.8139289527536085,1.006289659864161,0.025841340763300042,0.02544527743387216,0.5701540322780693,0.4444952583613731,0.30121225241695593,0.4069644763768043,0.14899241930197463,0.28572304936524495,0.4166666666666667,0.38333333333333336,1.2295179827045317,4.502046717189308
sarima,24h,system_temperature,24,0.733013444949874,1.00638256214052,0.012269852568707046,0.01237942489347215,0.373263850516152,0.28398008704876193,0.14039826250296664,0.366506722474937,0.2992392153223505,0.26871473343341806,0.5416666666666666,0.2583333333333334,1.3196056193441257,4.396374778253171
sarima,30d,cpu_load_total,704,4.43329088063181,5.6989935600182395,0.06563427055260945,0.06535565230053117,0.5637655026023309,0.4591626514759978,1.2431855575662292,2.216645440315905,1.1839701596405294,1.547933719174221,0.5369318181818182,0.2630681818181818,7.664458407051217,24.27155717206747
sarima,30d,mem_usage_percent,704,2.0282671690074596,2.448400890235586,0.021809098277945287,0.02183551279253455,0.8688389849576137,0.6948843190226998,0.7208508872933614,1.0141335845037298,0.5487653331286689,0.7612499349752534,0.39204545454545453,0.4079545454545455,2.5303781104852634,12.696162204220286
sarima,30d,net_bytes_recv,704,114.34201837302614,150.36881507040957,0.7527951712730989,0.34706222540889287,0.48039434243803725,0.36724505735137253,33.80126799954554,57.17100918651307,36.23163695030095,42.40130471211985,0.4588068181818182,0.34119318181818187,158.80411445413904,700.3290494984653
sarima,30d,net_bytes_sent,704,123.05295089810598,171.3728632627418,0.7449937304726443,0.4168145690858516,0.5617753183741497,0.4369571458819437,35.72394585938011,61.52647544905299,42.312169867872704,46.52086372543527,0.45170454545454547,0.3482954545454546,152.82249662140524,780.3611572725277
